id_director,name
56983,Rodney Gibbons
98120,Bret McCormick
1724,Roger Spottiswoode
1352792,Seth Michael Donsky
49855,Gaël Morel
4137,Richard Friedenberg
4566,Alan Rickman
96972,Alain Berliner
129952,Sean McNamara
105294,George Mendeluk
57777,Darin Scott
4501,Dean Semler
41795,Manny Coto
30149,Mikael Salomon
94155,Stefan Schwartz
138653,Brian Evans
18694,Bret Michaels
65401,Charlie Peters
107762,Alexander Sokurov
20907,Antoine Fuqua
72182,Mark Pavia
1214641,Millicent Shelton
57370,Frank Coraci
44644,Robert Dornhelm
1214449,Roberto Benabib
22140,Kari Skogland
228797,Richard Kwietniowski
139593,Jorge Fons
86557,David Breashears
90225,Stephen Judson
90223,Greg MacGillivray
974699,Jonathan Darby
41472,Peter O'Fallon
2460,Randall Wallace
120218,John Roberts
3317,Takeshi Kitano
36187,Bob Gosse
11614,M. Night Shyamalan
122458,Howard Goldberg
56381,James Toback
72258,Steve Boyum
9778,Ice Cube
558905,Craig Lahiff
1255,David Mamet
121829,Barnet Kellman
51851,Jake Kasdan
64,Gary Oldman
568291,John Johnson
48965,Anthony Hickox
87033,Julie Davis
97618,David DeCoteau
84714,Juan José Campanella
55948,Alan Smithee
1213162,Todd Holland
62410,Sammo Hung
119294,Abbas Kiarostami
123150,Mike van Diem
7736,Pål Sletaune
8108,John Warren
16376,Larry David
58036,Kirk Wong
47924,Carl Schenkel
77919,Tim McCanlies
526847,Leonid Boyko
543662,Vyacheslav Krishtofovich
1069294,James F. Robinson
145134,Jill Sprecher
229519,Thom Fitzgerald
50582,Frederik Du Chau
6449,Warren Beatty
57579,Don Roos
258199,Michael Martin
95760,Erik Skjoldbjærg
85549,Antonio Tibaldi
206549,Scott Reynolds
4522,Caroline Link
13615,Harry Elfont
13614,Deborah Kaplan
588701,Des McAnuff
75699,Lisa Cholodenko
33317,David Leland
1205453,Lavinia Currier
110695,Majid Majidi
1031288,Tiffanie DeBartolo
93133,Christopher Scott Cherot
4883,Manuel Pradal
66190,Tony Bancroft
66191,Barry Cook
4575,Marc Evans
12523,Rob Bowman
73282,Paddy Breathnach
1232592,Chris Eyre
22461,Vincent Gallo
